iter	Passed	Remaining
0	5	569
1	10	537
2	14	457
3	15	378
4	18	355
5	22	345
6	24	331
7	27	316
8	30	307
9	32	295
10	34	282
11	37	272
12	39	262
13	40	250
14	41	237
15	42	225
16	43	214
17	45	205
18	46	196
19	47	189
20	48	181
21	49	174
22	50	168
23	51	162
24	52	156
25	53	151
26	54	146
27	55	142
28	56	138
29	57	133
30	58	129
31	59	126
32	60	122
33	61	119
34	62	115
35	63	112
36	64	109
37	65	106
38	66	104
39	67	101
40	68	98
41	68	95
42	69	92
43	70	90
44	71	87
45	73	85
46	74	83
47	75	81
48	76	79
49	77	77
50	78	75
51	79	72
52	80	70
53	80	68
54	81	66
55	82	64
56	83	63
57	84	61
58	85	59
59	86	57
60	87	56
61	88	54
62	89	52
63	90	51
64	91	49
65	92	47
66	93	46
67	94	44
68	95	42
69	96	41
70	97	39
71	98	38
72	99	36
73	100	35
74	101	33
75	102	32
76	103	30
77	104	29
78	105	28
79	106	26
80	107	25
81	108	23
82	109	22
83	110	21
84	111	19
85	112	18
86	113	16
87	114	15
88	115	14
89	116	12
90	117	11
91	118	10
92	119	8
93	120	7
94	121	6
95	122	5
96	122	3
97	123	2
98	124	1
99	125	0
